instance,formulation,budget,method,reference,mean,sd,exact_successes,runs,mean_seconds,mean_absolute_deviation,mean_gap_percent
reconstructed-test-01,deterministic,75,cost,443583.3723433449,444385.8506504126,778.9787002715997,9,20,0.21701519624999718,802.4783070677775,0.18090811267980503
reconstructed-test-01,deterministic,75,entropy_only,443583.3723433449,463042.3386114264,6151.907560359686,0,20,0.20884939274999398,19458.96626808143,4.386766385151987
reconstructed-test-01,deterministic,75,ga,443583.3723433449,463042.3386114264,6151.907560359686,0,20,0.2048202084000536,19458.96626808143,4.386766385151987
reconstructed-test-01,deterministic,75,gnn_ga,443583.3723433449,444627.62602333986,1015.776899652166,7,20,0.21548505780000368,1044.2536799949623,0.23541317035361803
reconstructed-test-01,deterministic,75,initialization_only,443583.3723433449,444627.62602333986,1015.776899652166,7,20,0.21457441295002583,1044.2536799949623,0.23541317035361803
reconstructed-test-01,deterministic,75,sa,443583.3723433449,446872.9859112619,5489.8574778743705,8,20,0.23070953340001096,3289.613567916959,0.741599837374137
reconstructed-test-01,deterministic,400,ga,443583.3723433449,448298.5021998763,3676.501163656173,0,10,1.0987258787000656,4715.129856531404,1.0629636164273921
reconstructed-test-01,deterministic,400,gnn_ga,443583.3723433449,443583.37234334496,0.0,10,10,1.1155330603000038,5.820766091346741e-11,1.3122146713022683e-14
reconstructed-test-01,regret,75,cost,250.19213022840177,1245.9446029503918,991.7520930979707,9,20,0.2473139661000232,995.7524727219898,397.9951215143985
reconstructed-test-01,regret,75,entropy_only,250.19213022840177,23090.3419766695,7610.3722008314735,0,20,0.24046432479999566,22840.1498464411,9129.04407728181
reconstructed-test-01,regret,75,ga,250.19213022840177,23090.3419766695,7610.3722008314735,0,20,0.2386217984000268,22840.1498464411,9129.04407728181
reconstructed-test-01,regret,75,gnn_ga,250.19213022840177,1383.1470992560498,1161.6167916357638,7,20,0.2515033378999874,1132.9549690276478,452.83397523070255
reconstructed-test-01,regret,75,initialization_only,250.19213022840177,1383.1470992560498,1161.6167916357638,7,20,0.24897647929999495,1132.9549690276478,452.83397523070255
reconstructed-test-01,regret,75,sa,250.19213022840177,3715.121454761337,6055.231161156423,7,20,0.2709044115999973,3464.9293245329345,1384.9073995132387
reconstructed-test-01,regret,400,ga,250.19213022840177,4470.268537640176,4382.963635202007,0,10,2.376856865900004,4220.076407411773,1686.7342724006714
reconstructed-test-01,regret,400,gnn_ga,250.19213022840177,368.25910791200585,373.3605659313986,9,10,1.9709030938999603,118.0669776836041,47.19052416869391
reconstructed-test-02,deterministic,25,cost,505042.4422516367,521728.3878076705,10208.029535146641,0,20,0.09195186180004385,16685.94555603379,3.303869964203927
reconstructed-test-02,deterministic,25,entropy_only,505042.4422516367,557237.7895285112,15262.05194381694,0,20,0.08949207339998111,52195.34727687443,10.33484374979879
reconstructed-test-02,deterministic,25,ga,505042.4422516367,557237.7895285112,15262.05194381694,0,20,0.08649823245000335,52195.34727687443,10.33484374979879
reconstructed-test-02,deterministic,25,gnn_ga,505042.4422516367,515561.8511393281,6400.310242839735,0,20,0.09073152834993152,10519.408887691452,2.08287621151059
reconstructed-test-02,deterministic,25,initialization_only,505042.4422516367,515561.8511393281,6400.310242839735,0,20,0.09330926040003078,10519.408887691452,2.08287621151059
reconstructed-test-02,deterministic,25,sa,505042.4422516367,546279.8809593858,17001.050497623182,0,20,0.08489713200004871,41237.43870774911,8.165143215271126
reconstructed-test-02,regret,25,cost,97.31611365511344,21183.057769172407,13617.270174972551,0,20,0.10461557469999434,21085.741655517293,21667.26646138458
reconstructed-test-02,regret,25,entropy_only,97.31611365511344,63441.26392908683,18916.051524392795,0,20,0.10855144790003805,63343.947815431704,65090.913967158114
reconstructed-test-02,regret,25,ga,97.31611365511344,63441.26392908683,18916.051524392795,0,20,0.10019508889999998,63343.947815431704,65090.913967158114
reconstructed-test-02,regret,25,gnn_ga,97.31611365511344,12848.952737031603,7681.090953874903,0,20,0.10740283189996944,12751.636623376491,13103.31469726387
reconstructed-test-02,regret,25,initialization_only,97.31611365511344,12848.952737031603,7681.090953874903,0,20,0.10874093354999559,12751.636623376491,13103.31469726387
reconstructed-test-02,regret,25,sa,97.31611365511344,52733.05715981161,18576.67898005371,0,20,0.09969258970000965,52635.7410461565,54087.38498610479
reconstructed-test-03,deterministic,10,cost,627488.6974115492,657675.0401902809,16399.782589754726,0,20,0.046587080699987383,30186.342778731683,4.810659204421248
reconstructed-test-03,deterministic,10,entropy_only,627488.6974115492,708591.3382835856,19744.273908993408,0,20,0.04791976820000628,81102.64087203657,12.924956450465597
reconstructed-test-03,deterministic,10,ga,627488.6974115492,708591.3382835856,19744.273908993408,0,20,0.04534509364997348,81102.64087203657,12.924956450465597
reconstructed-test-03,deterministic,10,gnn_ga,627488.6974115492,668507.5722518387,14938.753034125153,0,20,0.04924745199998597,41018.87484028963,6.536990229385232
reconstructed-test-03,deterministic,10,initialization_only,627488.6974115492,668507.5722518387,14938.753034125153,0,20,0.04958396110000649,41018.87484028963,6.536990229385232
reconstructed-test-03,deterministic,10,sa,627488.6974115492,707015.6662120061,23174.375710235025,0,20,0.04445963505000918,79526.96880045692,12.673848808514522
reconstructed-test-03,regret,10,cost,282.29833574585655,38480.00965812805,22066.556583448415,0,20,0.054985369399980756,38197.7113223822,13530.972905476241
reconstructed-test-03,regret,10,entropy_only,282.29833574585655,99991.00397049842,25862.745412854234,0,20,0.05572787350001818,99708.70563475255,35320.33066058061
reconstructed-test-03,regret,10,ga,282.29833574585655,99991.00397049842,25862.745412854234,0,20,0.05247824909996553,99708.70563475255,35320.33066058061
reconstructed-test-03,regret,10,gnn_ga,282.29833574585655,51059.17440547115,19954.65388019809,0,20,0.05569981230000849,50776.8760697253,17986.95551483448
reconstructed-test-03,regret,10,initialization_only,282.29833574585655,51059.17440547115,19954.65388019809,0,20,0.05551036985000337,50776.8760697253,17986.95551483448
